epoch,train_losses,train_accuracies,test_losses,test_accuracies
1,0.5406602389705829,0.7336,0.4077177775811546,0.8308
2,0.34856122179914967,0.84855,0.40774893477747715,0.8094
3,0.27845340976699856,0.88145,0.3049897081867049,0.8694
4,0.23095145431189493,0.9007,0.41188841379141505,0.835
5,0.20220204183278373,0.91545,0.23714137501731702,0.9054
6,0.17547185627368692,0.92705,0.38534606468003196,0.847
7,0.16335051922133556,0.93395,0.25134656198700017,0.8994
8,0.14608959953029887,0.94115,0.17585496217766894,0.9368
9,0.13704614116908453,0.94485,0.1757718583545353,0.932
10,0.1250836601236853,0.9492,0.21174093655345938,0.9202
11,0.11671072455307546,0.95315,0.2167432475599307,0.9216
12,0.10670678702572854,0.9578,0.15969355993821652,0.9424
13,0.10406331140131425,0.95785,0.1399553515771522,0.9468
14,0.0920918523467863,0.96315,0.16677743254253005,0.938
15,0.09247232698493253,0.9631,0.25543613870675336,0.917
16,0.08588062661191145,0.96715,0.17624050628723978,0.9424
17,0.08230236738610763,0.96765,0.14300525499672828,0.949
18,0.07154375695572875,0.97255,0.19735105488968047,0.9352
19,0.0710679288974371,0.9714,0.1731562790213318,0.9438
20,0.06282459452641181,0.9747,0.180926558019334,0.947
21,0.06410789681812779,0.97365,0.14391604322008789,0.9498
22,0.06181893236905384,0.9766,0.16660543817207454,0.9488
23,0.053945283627899264,0.97945,0.1650664626172732,0.9448
24,0.05343815741596369,0.98025,0.1631446003065079,0.9544
25,0.05318410556165341,0.98035,0.20026828456505003,0.9334
